ball,score,commentary
3.3,6,"Sameen Gul to Denly, SIX,
 clean strike. Magnificent strike. Sashays down the pitch, makes some 
room and goes over cover. Sailed over the ropes. Would've cleared any 
boundary in the world."
3.3,1w,"Sameen
 Gul to Denly, 1 wide, banged in short but this is way over the 
batsman's head. Kamran had to use every bit of his leap to stop that"
3.2,0,"Sameen
 Gul to Denly, no run, looks to hoick this across the line but this 
length ball angles in from wide of the crease and hits him on the body."
3.1,1,"Sameen Gul to Babar Azam, 1 run, whips this length ball towards mid-on where Wahab comes up with a tumbling stop"
2.6,1,"Hasan Ali to Babar Azam, 1 run, turns this short of length delivery on middle to square leg"
2.5,0,"Hasan Ali to Babar Azam, no run, backs away and mistimes this attempted slap to point. Five dot balls, pressure building"
2.4,0,"Hasan
 Ali to Babar Azam, no run, looks to force this on the up but is beaten 
by the pace and carry. Kamran takes it above his shoulders. Outstanding 
bowling"
2.3,0,"Hasan Ali to Babar Azam, no run, has a poke but is beaten by the late movement again."
2.2,0,"Hasan
 Ali to Babar Azam, no run, zips away from length outside off, Babar 
plays inside the line as this whizzes through to Kamran Akmal"
2.1,0,"Hasan Ali to Babar Azam, no run, driven firmly but can't pierce the packed off side ring, straight to cover point"
1.6,2,"Sameen Gul to Denly, 2 runs, whipped uppishly towards Dawson at deep square leg"
1.5,0,"Sameen Gul to Denly, no run, steps out, backs away to swing to the leg side but is cramped for room, beaten again."
1.4,0,"Sameen Gul to Denly, no run, squared up by a beauty.... almost snaffled by Sammy at slip!  Very quickly signalled that he took that on the bounce. Lovely delivery, late movement off the seam from middle"
1.3,1,"Sameen Gul to Babar Azam, 1 run, angled into middle and leg, turned to the leg side"
1.2,W,"Sameen Gul to Mukhtar Ahmed, OUT,
 thick outside edge and this is a sensational catch by Sammy at first 
slip. Mukhtar's first outing in PSL is a very brief one. He looked to 
hoick this across the line but only managed a thick edge that flew, 
Sammy was swift to move to his left and take a sharp catch at face 
height."
1.1,0,"Sameen Gul to Mukhtar Ahmed, no run, beaten as he looks to loft this length ball over mid-off. Gets some shape away off the seam"
0.6,0,"Hasan Ali to Denly, no run, beaten as he looks to flay this length ball on the up. Zipped through to the keeper."
0.5,4,"Hasan Ali to Denly, FOUR,
 floats this full delivery on the pads, Denly's balance and poise is 
immaculate as he flicks this to the midwicket boundary. Delightful wrist
 work"
0.4,0,"Hasan Ali to Denly, no run, a half-hearted poke and a miss to a length ball that shapes away from off stump."
0.3,4,"Hasan Ali to Denly, FOUR, uppish but over Sammy's head at wide first slip.  Not in control of that at all.  Pushed hard at this delivery away from the body. Lucky to get away with that"
0.2,4,"Hasan Ali to Denly, FOUR, opened the bat face late to steer this nicely, beats square third man to the boundary."
0.1,1,"Hasan Ali to Mukhtar Ahmed, 1 run, length ball that nips away a touch from outside off, steered to third man"
